station_name,city,datetime,air_temperature,air_temperature_dew_point,wind_speed_rate,visibility_distance,Season_name,month,hour
ABHA,ABHA,2025-08-24 21:00:00,18.1,16.0,0.0,10000,Summer,8,21
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 21:00:00,33.0,27.0,4.6,9999,Summer,8,21
AL AHSA,AL AHSA,2025-08-24 21:00:00,33.0,8.0,1.0,9900,Summer,8,21
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 21:00:00,32.2,18.0,1.5,10000,Summer,8,21
GASSIM,GASSIM,2025-08-24 21:00:00,33.0,-3.0,3.1,9900,Summer,8,21
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 21:00:00,35.0,14.0,0.0,9900,Summer,8,21
HAIL,HAIL,2025-08-24 21:00:00,31.0,-1.0,1.0,9900,Summer,8,21
TABUK,TABUK,2025-08-24 21:00:00,32.0,2.0,5.7,9900,Summer,8,21
QAISUMAH,QAISUMAH,2025-08-24 21:00:00,33.8,-2.0,2.1,10000,Summer,8,21
AL JOUF,AL JOUF,2025-08-24 21:00:00,32.0,3.0,1.5,9900,Summer,8,21
ARAR,ARAR,2025-08-24 21:00:00,34.0,0.0,3.1,9900,Summer,8,21
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 21:00:00,34.0,11.0,4.1,9900,Summer,8,21
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-24 21:00:00,32.8,27.0,4.6,10000,Summer,8,21
YENBO,YENBO,2025-08-24 21:00:00,33.0,28.0,2.6,9900,Summer,8,21
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 21:00:00,34.6,21.0,4.1,10000,Summer,8,21
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-24 21:00:00,29.0,-5.0,1.5,9900,Summer,8,21
HAIL,HAIL,2025-08-24 21:00:00,31.0,-1.0,1.0,10000,Summer,8,21
TABUK,TABUK,2025-08-24 21:00:00,31.8,2.0,5.7,10000,Summer,8,21
RAFHA,RAFHA,2025-08-24 21:00:00,29.6,0.0,0.0,10000,Summer,8,21
AL JOUF,AL JOUF,2025-08-24 21:00:00,31.8,3.0,1.5,10000,Summer,8,21
TURAIF,TURAIF,2025-08-24 21:00:00,28.0,6.0,5.1,9900,Summer,8,21
BISHA,BISHA,2025-08-24 21:00:00,28.6,17.0,3.6,10000,Summer,8,21
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 21:00:00,33.8,11.0,4.1,10000,Summer,8,21
MINA,MINA,2025-08-24 21:00:00,30.1,24.0,2.1,10000,Summer,8,21
TAIF,TAIF,2025-08-24 21:00:00,25.0,19.0,5.1,9900,Summer,8,21
YENBO,YENBO,2025-08-24 21:00:00,32.8,28.0,2.6,10000,Summer,8,21
WEJH,WEJH,2025-08-24 21:00:00,30.0,27.0,2.1,9900,Summer,8,21
RAFHA,RAFHA,2025-08-24 21:00:00,30.0,0.0,0.0,9900,Summer,8,21
ARAR,ARAR,2025-08-24 21:00:00,33.8,0.0,3.1,10000,Summer,8,21
ABHA,ABHA,2025-08-24 21:00:00,18.0,16.0,0.0,9999,Summer,8,21
AL BAHA,AL BAHA,2025-08-24 21:00:00,25.5,13.0,4.1,10000,Summer,8,21
AL BAHA,AL BAHA,2025-08-24 21:00:00,26.0,13.0,4.1,9900,Summer,8,21
NEJRAN,NEJRAN,2025-08-24 21:00:00,26.0,17.0,2.1,9999,Summer,8,21
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 21:00:00,30.6,26.0,1.0,10000,Summer,8,21
KING KHALED INTL,KING KHALED INTL,2025-08-24 21:00:00,31.9,-2.0,0.0,10000,Summer,8,21
KING KHALED INTL,KING KHALED INTL,2025-08-24 21:00:00,32.0,-2.0,0.0,9900,Summer,8,21
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-24 21:00:00,32.0,23.0,1.5,9900,Summer,8,21
GASSIM,GASSIM,2025-08-24 21:00:00,32.5,-3.0,3.1,10000,Summer,8,21
QAISUMAH,QAISUMAH,2025-08-24 21:00:00,34.0,-2.0,2.1,9900,Summer,8,21
GURIAT,GURIAT,2025-08-24 21:00:00,27.6,13.0,3.1,10000,Summer,8,21
KING KHALED AB,KING KHALED AB,2025-08-24 21:00:00,19.1,15.0,1.0,10000,Summer,8,21
TAIF,TAIF,2025-08-24 21:00:00,24.6,19.0,5.1,10000,Summer,8,21
NEJRAN,NEJRAN,2025-08-24 21:00:00,26.0,17.0,2.1,10000,Summer,8,21
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 21:00:00,31.0,26.0,1.0,9999,Summer,8,21
AL-DAWADAMI,AL-DAWADAMI,2025-08-24 21:00:00,29.0,-5.0,1.5,10000,Summer,8,21
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 21:00:00,35.0,21.0,4.1,9900,Summer,8,21
AL AHSA,AL AHSA,2025-08-24 21:00:00,32.5,8.0,1.0,10000,Summer,8,21
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 21:00:00,32.0,18.0,1.5,9900,Summer,8,21
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-24 21:00:00,35.4,14.0,0.0,10000,Summer,8,21
WEJH,WEJH,2025-08-24 21:00:00,30.0,27.0,2.1,10000,Summer,8,21
GURIAT,GURIAT,2025-08-24 21:00:00,28.0,13.0,3.1,9900,Summer,8,21
TURAIF,TURAIF,2025-08-24 21:00:00,27.9,6.0,5.1,10000,Summer,8,21
BISHA,BISHA,2025-08-24 21:00:00,29.0,17.0,3.6,9900,Summer,8,21
SHARURAH,SHARURAH,2025-08-24 21:00:00,28.7,14.0,9.3,3000,Summer,8,21
SHARURAH,SHARURAH,2025-08-24 21:00:00,29.0,14.0,9.3,3000,Summer,8,21
KING KHALED AB,KING KHALED AB,2025-08-24 21:00:00,19.0,15.0,1.0,9999,Summer,8,21
NEJRAN,NEJRAN,2025-08-24 20:00:00,27.0,15.0,2.1,9999,Summer,8,20
YENBO,YENBO,2025-08-24 20:00:00,33.0,28.0,1.0,9900,Summer,8,20
KING KHALED INTL,KING KHALED INTL,2025-08-24 20:00:00,33.0,-1.0,0.0,9900,Summer,8,20
AL AHSA,AL AHSA,2025-08-24 20:00:00,34.0,10.0,1.5,9900,Summer,8,20
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-24 20:00:00,30.0,-6.0,2.1,9900,Summer,8,20
GASSIM,GASSIM,2025-08-24 20:00:00,35.0,-4.0,4.6,9900,Summer,8,20
AL JOUF,AL JOUF,2025-08-24 20:00:00,33.0,4.0,1.5,9900,Summer,8,20
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-24 20:00:00,35.0,11.0,4.1,9900,Summer,8,20
AL BAHA,AL BAHA,2025-08-24 20:00:00,25.0,14.0,3.1,9900,Summer,8,20
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-24 20:00:00,31.0,26.0,1.0,9999,Summer,8,20
HAIL,HAIL,2025-08-24 20:00:00,33.0,1.0,1.0,9900,Summer,8,20
WEJH,WEJH,2025-08-24 20:00:00,30.0,27.0,2.1,9900,Summer,8,20
ARAR,ARAR,2025-08-24 20:00:00,35.0,2.0,3.6,9900,Summer,8,20
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-24 20:00:00,34.0,22.0,6.2,9900,Summer,8,20
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-24 20:00:00,33.0,23.0,1.5,9900,Summer,8,20
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-24 20:00:00,33.0,19.0,1.0,9900,Summer,8,20
QAISUMAH,QAISUMAH,2025-08-24 20:00:00,34.0,-2.0,2.1,9900,Summer,8,20
RAFHA,RAFHA,2025-08-24 20:00:00,31.0,1.0,0.0,9900,Summer,8,20
ABHA,ABHA,2025-08-24 20:00:00,18.0,18.0,2.6,9999,Summer,8,20
TAIF,TAIF,2025-08-24 20:00:00,24.0,20.0,6.2,9900,Summer,8,20
TURAIF,TURAIF,2025-08-24 20:00:00,29.0,5.0,6.2,9900,Summer,8,20
SHARURAH,SHARURAH,2025-08-24 20:00:00,30.0,15.0,7.7,2000,Summer,8,20
